Respondent,Prolific_ID,Message_framing,Relational_values,NR6_score,Greenspace_visitation,Upland_visitation,Peatland_knowledge,Degraded_peatlands_before,Regenerate_peatlands_before,Degraded_peatlands_after,Regenerate_peatlands_after,Degraded_peatland_score,Regenerate_peatland_score,Behaviour_1,Behaviour_2,Behaviour_3,Behaviour_sum,Financial_donation,Financial_allocation,Medical_research,Human_rights,Animal_welfare,Vulnerable_people,Other_conservation,Financial_compost,Advert_sufficiency,ES_Manipulation,BIO_Manipulation,Relational_Manipulation,Age_midpoint,Gender,Ethnicity,IMD_decile
17,6100105892a2248ae5d48498,ES,Absent,3.333333333,0.5,0.5,1,3,5,8,8,5,3,7,5,10,22,0,0,0,0,100,0,0,0,8,8,5,7,29.5,Female,White or Caucasian,3
18,615cb147f04efc8a8c2ff1e5,BIO,Absent,4.166666667,30.5,0.5,5,10,10,10,10,0,0,7,6,10,23,10,20,0,0,40,20,20,5,10,8,10,10,49.5,Female,White or Caucasian,2
19,5c124bf00c56ed00019e4e5c,ES,Present,3.333333333,1,0,2,5,5,9,9,4,4,6,5,8,19,0,5,40,10,10,20,15,2,5,10,10,10,39.5,Female,White or Caucasian,5
20,61470066dce66ce341df39c1,ES,Absent,2.166666667,2.5,0.5,4,5,5,10,10,5,5,8,7,9,24,5,5,60,5,20,10,0,1,5,8,8,8,29.5,Female,White or Caucasian,8
21,5cc39aa64d7a7f0001817c43,ES,Absent,3.833333333,4.5,0,6,9,9,9,9,0,0,8,5,10,23,5,20,10,10,30,10,20,5,10,10,8,8,39.5,Female,White or Caucasian,8
22,6163f8a826c9b98b20139416,BIO,Absent,3,18,0.5,4,7,6,6,6,-1,0,5,4,4,13,0,0,80,0,0,20,0,0,6,6,6,6,59.5,Male,White or Caucasian,3
23,64467f4be788c4d0c4d5ff33,ES,Absent,3.5,30.5,1,1,7,10,8,10,1,0,7,4,9,20,25,20,0,20,20,20,20,10,8,8,8,8,39.5,Male,White or Caucasian,3
24,60ccdc25fd512fd47ae6d64c,BIO,Absent,2.333333333,18,0.5,4,6,7,9,9,3,2,3,8,9,20,0,20,5,5,40,10,20,15,6,9,7,8,59.5,Female,White or Caucasian,7
25,5c62de3f48fe4e000180e09d,BIO,Absent,3,0.5,0.5,4,5,5,6,5,1,0,0,0,0,0,0,0,0,0,100,0,0,0,4,4,9,5,49.5,Female,White or Caucasian,10
26,6105a23d8507e9e63a27b880,ES,Absent,4.166666667,4.5,2.5,2,7,7,10,10,3,3,7,8,8,23,20,20,20,15,15,20,10,5,8,10,10,9,49.5,Male,Other,6
27,599407e53ae1c80001106244,ES,Present,2.833333333,30.5,0.5,5,7,7,7,8,0,1,2,2,2,6,0,0,60,0,0,40,0,5,8,9,2,7,39.5,Male,White or Caucasian,6
28,63e52debbbb982734deba89a,ES,Absent,3.833333333,18,0.5,4,9,10,10,10,1,0,10,5,5,20,20,20,30,0,10,20,20,2,10,10,10,10,59.5,Female,White or Caucasian,2
29,63d80b77167c4c6b33563dd0,BIO,Present,3.5,4.5,0.5,1,8,5,8,5,0,0,0,7,5,12,5,10,50,20,10,10,0,2,5,7,7,6,29.5,Male,Other,4
30,5a81a9fb0f1bce00012201ef,BIO,Absent,3.833333333,30.5,30.5,5,9,9,10,10,1,1,9,5,10,24,10,20,10,20,10,20,20,1,6,1,10,6,69.5,Female,White or Caucasian,7
31,5a496776f7b7bc00014e1150,BIO,Absent,3.833333333,18,1,4,9,10,9,10,0,0,8,8,10,26,20,20,0,25,20,20,15,5,9,8,8,9,69.5,Female,White or Caucasian,4
32,608094b5178f7e1caec2d24a,BIO,Absent,3.666666667,18,4.5,4,10,10,9,10,-1,0,9,9,9,27,5,40,0,0,20,0,40,5,9,5,9,4,39.5,Female,White or Caucasian,4
33,5da2f9f17809b60014fc839a,ES,Absent,3.833333333,0.5,0.5,5,9,9,9,10,0,1,9,9,9,27,5,15,15,15,20,15,20,5,9,8,7,6,59.5,Female,White or Caucasian,8
34,599c1130638529000144ffdd,BIO,Absent,3.5,30.5,0.5,2,5,9,8,10,3,1,6,0,7,13,10,20,50,10,0,20,0,3,6,10,10,10,79.5,Female,White or Caucasian,10
35,5f2b290cfa2da353b95121b8,ES,Absent,3.333333333,2.5,0,2,5,10,10,0,5,-10,5,7,7,19,20,20,20,20,20,20,0,5,8,10,10,10,59.5,Female,Other,6
36,63fb3a51bf9ed8602ccf21c4,BIO,Present,3.666666667,30.5,30.5,4,6,7,8,9,2,2,8,7,8,23,5,0,0,0,0,0,0,5,8,8,8,8,59.5,Female,White or Caucasian,6
37,5ebaa1ff940078000b52ebf4,BIO,Present,3.833333333,18,1,5,6,8,8,5,2,-3,7,5,7,19,20,20,30,0,20,20,10,5,8,6,9,7,59.5,Male,White or Caucasian,3
38,5ea07fc202b8bd05bb59bc38,ES,Absent,3.5,18,0.5,5,6,6,8,8,2,2,6,6,6,18,0,0,40,10,20,20,10,5,5,10,9,8,69.5,Female,White or Caucasian,4
39,60fd1cafe3de7892fe9b3bd4,ES,Present,2.166666667,18,1,1,6,7,6,8,0,1,6,5,6,17,5,10,20,20,20,30,0,20,6,6,8,8,21,Female,Other,2
40,62a8b95af298e3ab69312a78,BIO,Absent,2.166666667,0,0,2,5,5,9,9,4,4,0,0,0,0,0,0,0,50,0,50,0,0,9,2,9,5,59.5,Female,Other,1
41,64451ad470a456f1cc0ca413,ES,Present,2.666666667,2.5,0.5,2,8,8,8,8,0,0,7,5,8,20,10,10,10,20,10,30,20,5,5,8,7,8,59.5,Female,White or Caucasian,6
42,634b26ce0aaab507fa36b71c,ES,Absent,4,18,0,4,10,10,10,10,0,0,8,7,6,21,0,50,0,0,0,0,50,5,8,9,9,9,29.5,Female,Other,5
43,64401b8dc61551f15637634b,BIO,Present,3.333333333,18,0.5,1,5,5,5,5,0,0,7,3,7,17,0,10,10,30,40,10,0,0,5,6,10,7,29.5,Male,Other,3
44,5c584e854e32ef00014af685,BIO,Absent,1.833333333,0.5,0.5,4,5,5,8,6,3,1,2,2,2,6,0,0,25,25,25,25,0,0,5,5,5,5,29.5,Female,White or Caucasian,3
45,605a740e311145a360bc8714,BIO,Absent,3.666666667,18,0.5,2,8,5,10,0,2,-5,10,5,9,24,10,10,50,10,10,10,10,10,10,10,10,8,29.5,Male,Other,3
46,630cb50af8eec0334279120d,ES,Present,3.666666667,2.5,0.5,6,9,10,10,10,1,0,7,0,0,7,10,10,10,0,50,10,10,0,10,10,6,6,59.5,Female,White or Caucasian,10
47,5e39e3e654fca708912dfac4,ES,Absent,4.166666667,30.5,1,1,8,8,10,10,2,2,6,3,5,14,0,15,45,10,25,5,0,5,10,10,10,10,59.5,Female,White or Caucasian,5
48,60748e255c2a885bd682efbe,ES,Absent,4.5,30.5,0.5,6,10,10,10,10,0,0,6,0,9,15,5,10,10,20,10,20,30,10,10,10,10,10,59.5,Female,White or Caucasian,4
49,63d7aaec3ca7349b1aa83301,BIO,Present,4.166666667,1,0,1,5,5,9,9,4,4,9,9,4,22,1,15,15,10,5,50,5,0,9,9,10,8,39.5,Female,Other,4
50,6457abf2901da540ba46b6fd,ES,Absent,3.166666667,0.5,0.5,1,5,7,8,8,3,1,7,0,2,9,0,0,33,34,0,33,0,17,6,8,6,6,59.5,Female,White or Caucasian,7
51,5d48673efef71c0016d8bf40,ES,Absent,3.166666667,0.5,0,4,5,7,8,7,3,0,5,5,8,18,0,0,75,0,0,25,0,0,5,8,7,5,59.5,Male,White or Caucasian,1
52,5ea3319a6a1a5b2a1175ed6e,BIO,Present,3.166666667,4.5,0.5,1,6,8,8,9,2,1,7,6,8,21,0,0,50,0,10,30,10,2,6,8,10,1,69.5,Male,White or Caucasian,7
53,5fc3d6b6a0603a2b9d8d4925,ES,Present,3,4.5,0.5,4,7,5,8,8,1,3,4,2,6,12,0,0,20,20,20,20,20,1,3,7,6,5,21,Female,Other,4
54,5ea0631f1b0f64012fefc637,BIO,Absent,3.666666667,18,0,5,7,10,10,10,3,0,7,5,10,22,3,25,45,0,0,20,10,0,7,5,10,8,69.5,Female,White or Caucasian,10
55,5fb8d29daff3bb26b233b979,ES,Present,3.666666667,0.5,0.5,6,8,10,9,10,1,0,8,8,8,24,5,20,20,0,10,20,30,0,10,10,9,8,59.5,Male,White or Caucasian,8
56,648376d018b8fa100e60489a,ES,Present,2.333333333,2.5,0.5,6,6,5,8,8,2,3,8,7,10,25,5,0,0,0,20,60,20,0,8,10,6,8,59.5,Female,White or Caucasian,10
57,5bcc34925ac43c0001992c0c,BIO,Absent,3.666666667,2.5,0.5,1,3,8,7,8,4,0,7,8,8,23,1,10,30,30,10,20,0,0,8,3,8,7,29.5,Female,Other,4
58,63164d67d236d9e5f55cf06c,ES,Absent,3.666666667,0.5,0,1,6,8,10,9,4,1,5,6,7,18,0,0,10,5,20,30,30,15,8,9,7,8,21,Female,White or Caucasian,3
59,62b2f74cf3794e252cc7d1a7,ES,Present,4,4.5,2.5,2,7,7,10,9,3,2,8,5,7,20,5,15,10,20,20,30,5,0,7,6,8,9,21,Male,White or Caucasian,10
60,5f0d5e8b03b5db770f95690d,BIO,Present,3,2.5,0.5,4,5,9,10,10,5,1,9,10,10,29,20,15,20,20,5,40,0,18,4,8,10,8,39.5,Female,Other,5
61,614b3ec34d93be8b23257fca,ES,Absent,3.833333333,18,0.5,5,9,9,9,9,0,0,8,9,8,25,5,20,20,10,10,20,20,17,9,9,9,9,69.5,Female,White or Caucasian,9
62,5b70758cf3dd6600010aa9eb,ES,Absent,3.833333333,2.5,0,2,10,10,10,10,0,0,9,10,10,29,5,20,20,5,5,20,30,3,10,10,10,10,69.5,Female,White or Caucasian,8
63,57406328d700ea000ef44aae,BIO,Present,4.666666667,18,2.5,4,10,10,10,10,0,0,10,9,10,29,10,50,0,10,10,10,20,20,8,10,10,9,59.5,Female,White or Caucasian,9
64,5987030cfd8cca00015cbc26,BIO,Present,4.666666667,18,0.5,5,8,10,10,10,2,0,8,8,10,26,5,30,10,0,40,10,20,3,10,8,10,10,59.5,Female,White or Caucasian,2
65,6229f1c215b1b83f71da3b71,ES,Absent,4,18,18,6,10,10,10,10,0,0,8,0,0,8,0,5,0,0,0,0,95,5,9,8,8,2,59.5,Male,White or Caucasian,5
66,6405ea70e659d84377d7cdb1,BIO,Absent,4.166666667,30.5,2.5,4,10,10,10,10,0,0,9,8,10,27,10,10,50,0,20,5,15,3,9,10,10,10,69.5,Female,White or Caucasian,7
67,5cba2e9af429ff00159dda71,BIO,Present,4.666666667,0.5,0.5,4,10,10,10,10,0,0,6,6,10,22,10,10,0,10,60,10,10,5,10,10,10,10,59.5,Female,White or Caucasian,1
68,63fa26eac1c86fa597131481,ES,Absent,3,18,0.5,1,5,6,5,6,0,0,6,6,5,17,5,10,50,5,20,10,5,0,7,9,8,8,59.5,Female,White or Caucasian,1
69,6229dc51dff340226697778e,BIO,Absent,3.5,0.5,0,5,5,8,8,8,3,0,1,1,5,7,0,20,10,0,40,10,20,0,8,6,9,8,59.5,Male,White or Caucasian,6
70,55885582fdf99b4021921fbd,BIO,Present,1.666666667,0,0,2,5,5,8,9,3,4,0,0,0,0,0,0,10,20,0,70,0,0,2,4,10,6,69.5,Female,White or Caucasian,2
71,62c1f284b5ce5f4d8840ea7c,ES,Present,3.333333333,4.5,0,1,5,5,8,8,3,3,8,8,8,24,100,30,30,10,10,10,10,20,8,8,8,8,59.5,Female,Other,1
72,643c0cbc392bf31886e905ac,BIO,Absent,3.666666667,0,0,5,10,7,10,10,0,3,10,10,10,30,0,20,40,0,10,20,10,2,10,10,10,10,59.5,Female,White or Caucasian,5
73,5993260f4f3a820001fb39a7,ES,Absent,2.833333333,18,2.5,5,5,5,5,5,0,0,6,3,6,15,0,0,100,0,0,0,0,0,6,10,7,7,59.5,Male,White or Caucasian,5
74,64518e0e1d8bff225cd5e491,BIO,Absent,4,2.5,0.5,5,10,9,10,10,0,1,8,8,8,24,5,5,0,60,10,20,5,10,8,8,10,7,69.5,Male,White or Caucasian,6
75,5d45521afdaaad00010ec185,ES,Present,3.333333333,30.5,1,2,8,8,8,10,0,2,9,7,9,25,0,10,10,20,0,60,0,1,8,10,9,9,59.5,Female,White or Caucasian,5
76,60fa9c3a9c00703b82cf2974,BIO,Absent,3,2.5,0.5,2,8,6,9,7,1,1,7,2,9,18,0,0,25,0,5,70,0,1,10,1,9,2,21,Male,White or Caucasian,7
77,5ca102f57114700016da340d,ES,Absent,4,30.5,30.5,5,8,7,8,8,0,1,5,0,5,10,0,0,0,0,0,0,100,0,1,7,7,7,69.5,Male,White or Caucasian,6
78,5c5560482207e7000113aaf4,BIO,Present,3.5,30.5,0,1,5,10,10,10,5,0,5,0,0,5,25,10,0,0,40,50,0,5,10,8,10,8,69.5,Female,White or Caucasian,2
79,5e2872fffcdb020467d12799,BIO,Present,4.166666667,18,1,4,10,10,10,10,0,0,9,5,10,24,3,15,10,15,10,25,25,10,10,9,10,10,79.5,Male,White or Caucasian,4
80,6400f3452ec50d08d12727ff,BIO,Absent,2.833333333,4.5,0.5,5,8,8,8,10,0,2,7,6,8,21,5,5,30,25,15,25,0,10,8,0,10,0,29.5,Male,White or Caucasian,5
81,6138f7cce9edc5389edd6331,BIO,Present,2.833333333,18,2.5,2,8,6,7,7,-1,1,4,3,7,14,5,10,10,20,20,25,15,5,7,9,9,7,29.5,Male,White or Caucasian,6
82,5c50dcb83917a000010bf006,ES,Absent,3.166666667,2.5,0,1,7,9,8,9,1,0,6,3,8,17,0,5,20,30,10,30,5,1,6,9,8,8,29.5,Female,White or Caucasian,6
83,5eeddefa177a7322144cbc5e,ES,Present,4,30.5,0,5,10,10,10,10,0,0,10,0,10,20,0,80,0,0,0,0,20,2,9,10,8,10,49.5,Male,Other,5
84,63637d967ee8bf369c131da3,ES,Present,3.333333333,2.5,0.5,2,6,9,7,9,1,0,7,3,8,18,3,10,20,20,20,20,10,2,2,7,2,2,39.5,Male,Other,6
85,6326e63755a0f49a9c4b9063,ES,Present,4.166666667,18,2.5,2,8,10,9,10,1,0,10,10,10,30,10,50,10,0,20,20,0,2,9,9,9,9,49.5,Male,White or Caucasian,3
86,5b5e69947d7bdd0001132245,BIO,Present,3,0.5,0.5,1,8,10,9,10,1,0,5,7,8,20,5,10,10,10,40,15,15,5,8,5,10,5,59.5,Female,White or Caucasian,6
87,63ea89ecb8a5649bd3c6e130,BIO,Present,4,30.5,4.5,6,8,10,9,10,1,0,8,8,10,26,1,7,25,25,21,20,2,2,7,4,10,6,21,Female,White or Caucasian,6
88,62daefd2220fde74a5d21af4,BIO,Absent,2.666666667,0.5,0.5,6,5,5,7,7,2,2,5,5,5,15,0,5,35,10,5,15,30,0,8,6,7,7,29.5,Male,White or Caucasian,3
89,58106d17a513590001b1ec9e,ES,Present,2.666666667,0.5,0,2,7,10,8,10,1,0,1,1,1,3,0,5,5,5,75,5,5,0,8,9,9,9,59.5,Male,White or Caucasian,8
90,640211d8277cfdf56b1bfabb,ES,Present,2.333333333,4.5,1,4,5,5,10,10,5,5,9,7,10,26,10,10,50,10,5,5,20,5,8,10,5,8,29.5,Male,White or Caucasian,4
91,62a0c5bf6efbdb2f7d383eaf,ES,Absent,3.333333333,18,0.5,6,8,8,9,9,1,1,6,3,7,16,0.25,15,10,10,25,15,25,3,1,8,2,2,59.5,Male,White or Caucasian,5
92,5b77435f13c3580001b63f26 ,BIO,Present,3.333333333,18,0.5,5,6,9,8,10,2,1,5,6,6,17,3,5,60,10,5,20,0,5,7,10,10,10,69.5,Male,White or Caucasian,5
93,5ea8c40504081a31ebd22b41,BIO,Present,3.5,1,0.5,6,8,7,8,8,0,1,2,2,0,4,0,0,85,5,0,10,0,0,1,3,8,6,59.5,Female,White or Caucasian,8
94,5f15f12447667c136902aeb5,BIO,Present,4,18,0.5,6,9,9,9,9,0,0,6,5,8,19,0,0,10,0,80,0,10,5,10,0,10,8,59.5,Female,White or Caucasian,5
95,629b96d03dcc005522f4e7d2,BIO,Absent,4,18,1,2,8,9,9,9,1,0,10,10,10,30,10,20,10,15,5,30,20,18,9,10,10,10,59.5,Female,White or Caucasian,5
96,56c225fe0a25f1000ce56865,ES,Absent,3.333333333,2.5,0.5,1,7,10,7,10,0,0,8,6,7,21,2.5,5,0,15,15,25,40,5,8,8,5,9,49.5,Male,Other,8
97,5e6e7ceba2b2ee000ac9dfdd,BIO,Present,4,2.5,0.5,3,8,10,8,10,0,0,10,7,10,27,5,20,20,5,20,20,15,3,8,9,10,10,29.5,Male,White or Caucasian,7
98,5d39c859babfbf00185c09ac,ES,Present,3.333333333,18,0,5,6,10,9,10,3,0,7,6,7,20,10,20,10,20,10,30,10,0,8,8,8,8,69.5,Female,White or Caucasian,5
99,5c5757d53d8546000132180e,BIO,Present,3.333333333,18,0.5,6,5,5,8,0,3,-5,8,8,10,26,0,15,5,15,10,15,10,5,8,9,10,9,59.5,Female,White or Caucasian,3
100,640851e97f3afdfd3b61e66d,ES,Present,4.333333333,4.5,1,4,9,10,10,10,1,0,9,9,10,28,0,10,10,10,20,10,40,5,10,10,10,10,69.5,Female,White or Caucasian,7
101,61424b5d55efaace8aa38c19,ES,Absent,2.5,30.5,0,2,5,7,5,7,0,0,4,0,0,4,0,0,100,0,0,0,0,0,2,6,5,6,69.5,Male,White or Caucasian,4
102,6413627f4adf0cc7eb330dfc,ES,Absent,4.333333333,18,0.5,2,8,8,9,9,1,1,8,8,10,26,20,25,5,5,25,15,25,20,10,10,6,2,21,Other,White or Caucasian,10
103,5c55aa4dcf1cd900018d19d1,BIO,Present,3.666666667,30.5,0.5,4,6,7,8,7,2,0,5,2,5,12,5,5,10,35,5,35,10,2,5,5,8,6,29.5,Male,White or Caucasian,9
104,63e538b2184766a67a99e21f,BIO,Present,3.166666667,1,0,5,10,10,10,10,0,0,8,7,0,15,5,10,20,10,5,50,5,5,10,0,10,5,39.5,Male,Other,2
105,5d52e15363bdb100010883f1,ES,Absent,3.333333333,18,0.5,2,6,8,10,10,4,2,6,0,6,12,5,100,0,0,0,0,0,0,7,7,7,5,79.5,Male,White or Caucasian,3
106,5fabf588f711fa0c6b0aebf6,BIO,Present,3.833333333,18,0.5,1,8,9,9,10,1,1,9,3,10,22,5,20,0,20,20,20,20,3,10,9,10,9,79.5,Male,White or Caucasian,5
107,597519f8262c480001bbaf8b,BIO,Absent,4.166666667,4.5,0.5,4,9,10,10,10,1,0,9,0,10,19,30,30,25,0,20,15,10,5,10,10,10,10,69.5,Female,White or Caucasian,10
108,62b05691722d0db3c9d69acb,BIO,Absent,2.666666667,18,0,1,10,10,10,10,0,0,8,0,0,8,0,20,20,0,20,20,20,1,10,0,10,0,49.5,Male,White or Caucasian,3
109,5b75ac687dc4b00001af4e50,ES,Present,3.666666667,2.5,0.5,4,6,7,10,10,4,3,8,8,8,24,0.5,20,5,5,10,30,30,3,9,9,9,8,59.5,Female,White or Caucasian,3
110,5d1c9d39ff67e3000140ca87,BIO,Present,4.166666667,30.5,0.5,5,5,5,6,5,1,0,6,0,0,6,0,0,0,0,0,0,0,0,5,5,10,3,59.5,Male,White or Caucasian,3
111,5ecd22e76997ec03464c71aa,BIO,Absent,4.166666667,18,0.5,4,8,8,9,9,1,1,6,1,4,11,0,5,20,0,0,75,0,3,7,8,10,10,59.5,Male,White or Caucasian,4
112,64121d1c93227a02258b417d,ES,Absent,4,30.5,0.5,2,8,8,9,10,1,2,8,5,10,23,25,20,20,20,10,15,15,5,9,10,10,10,49.5,Male,Other,10
113,62d132acb69af7bf169cdbb8,BIO,Absent,3.333333333,4.5,0.5,1,7,7,8,9,1,2,7,3,8,18,50,20,0,10,20,30,20,5,7,3,10,6,21,Male,White or Caucasian,1
114,613e2f89123385c68195b0e6,ES,Present,3.666666667,4.5,0.5,4,6,5,9,9,3,4,7,7,8,22,15,15,15,20,15,15,20,5,6,7,7,5,29.5,Female,White or Caucasian,9
115,64837ba51422d817b62cc5cc,BIO,Absent,2.833333333,0.5,0.5,5,5,5,8,8,3,3,7,7,5,19,0,10,40,0,10,40,0,3,8,4,10,10,69.5,Female,White or Caucasian,5
116,638612440ec47409005d14da,BIO,Present,4.833333333,18,1,1,10,0,10,10,0,10,10,10,10,30,5,20,20,10,10,20,20,30,10,10,10,10,39.5,Male,Other,5
117,6413733ce867b691acc8db80,ES,Absent,3.833333333,18,0.5,1,9,10,10,10,1,0,8,7,9,24,0,30,0,20,20,30,0,0,7,8,8,8,21,Female,White or Caucasian,7
118,64291fd466d5ee1a536c5808,ES,Present,4.666666667,30.5,2.5,5,8,10,8,10,0,0,7,8,8,23,25,25,50,0,0,0,25,5,8,9,9,9,59.5,Female,White or Caucasian,8
119,638e2eed82fa613f2140ba13,ES,Present,3.666666667,30.5,0.5,6,7,8,9,10,2,2,6,5,8,19,0,0,10,0,10,80,0,3,10,9,1,7,59.5,Female,White or Caucasian,4
120,6413590a5e16ccd8b72d3be2,BIO,Absent,3,30.5,2.5,4,5,5,9,8,4,3,8,6,10,24,2,5,10,20,30,25,10,0,2,0,10,5,29.5,Male,White or Caucasian,7
121,62e165704f5050325db82893,BIO,Absent,2.666666667,4.5,1,5,5,5,8,7,3,2,4,1,1,6,0,0,40,0,30,30,0,0,8,8,10,8,29.5,Male,White or Caucasian,10
122,6078661a148492f9436d8bb0,ES,Present,3.666666667,30.5,0,1,9,10,10,10,1,0,8,8,9,25,0,20,50,0,5,25,0,0,8,9,9,9,59.5,Male,White or Caucasian,9
123,59e8cb08bab73300016bd7f7,BIO,Present,3.5,30.5,30.5,4,8,5,8,10,0,5,5,2,8,15,1,1,50,1,1,30,17,0,9,10,10,10,69.5,Male,White or Caucasian,9
124,5fcf580e38a75a2824e4cebd,BIO,Present,3.5,18,2.5,2,7,7,8,9,1,2,9,9,8,26,10,20,20,20,20,20,20,5,7,9,9,6,29.5,Female,Other,9
125,6440588caf502b75b3fe71a2,ES,Absent,2.333333333,30.5,30.5,4,3,8,7,7,4,-1,5,0,0,5,0,0,0,0,100,0,0,0,3,2,5,3,21,Male,White or Caucasian,8
126,5f69ec9b9dba42000a8b7bb5,BIO,Present,4.5,30.5,0.5,6,7,8,9,10,2,2,7,9,9,25,10,20,10,20,20,10,20,5,9,8,10,8,59.5,Male,White or Caucasian,8
127,6365981e26931f08e98d9840,BIO,Present,3.333333333,1,0.5,2,7,8,7,7,0,-1,6,2,6,14,1,0,0,0,50,0,50,0,3,6,8,7,29.5,Male,White or Caucasian,1
128,62347ee217c402f4acae35d0,BIO,Present,3.333333333,2.5,0.5,5,7,10,9,10,2,0,6,6,8,20,5,15,20,5,20,20,20,2,8,4,10,6,59.5,Male,White or Caucasian,5
129,63bdef3b9afda6ccbc698cd0,BIO,Present,1.833333333,4.5,0,4,5,5,8,7,3,2,2,2,2,6,0,0,0,20,0,80,0,0,2,7,8,7,29.5,Male,Other,3
130,5cc8745ba94e300001fd9687,ES,Present,1.833333333,0.5,0,5,0,10,10,10,10,0,2,2,6,10,5,40,45,0,0,5,10,5,10,10,9,9,69.5,Female,White or Caucasian,6
131,599c578d8acf1e0001599633,BIO,Present,4.5,30.5,0.5,5,10,5,10,10,0,5,9,8,10,27,25,25,0,0,50,0,25,1,3,8,10,8,59.5,Male,White or Caucasian,5
132,616d5c54f2953f6447f27402,BIO,Present,3.5,30.5,2.5,5,8,10,9,10,1,0,8,5,9,22,5,20,20,20,5,20,15,15,5,5,10,9,59.5,Male,Other,4
133,62fccb9647eb07d62e9b6baa,ES,Absent,3,18,0.5,1,6,6,9,9,3,3,6,5,8,19,5,10,20,20,25,0,25,0,6,10,10,10,59.5,Male,White or Caucasian,9
134,59bb9e3a178f1b0001828b12,ES,Absent,3.5,0.5,0.5,4,8,8,9,9,1,1,7,6,5,18,10,20,20,5,5,20,30,5,7,10,5,6,79.5,Male,White or Caucasian,6
135,6319fe78b47336fe7e05230c,BIO,Absent,3.666666667,4.5,0.5,6,10,10,10,10,0,0,9,10,10,29,15,10,30,10,10,30,10,5,10,5,10,5,59.5,Male,White or Caucasian,5
